node,lt_mean,lt_std,lt_robust
15682,6.19,39.27446880608317,2.2625531193916832
17299,2.27,4.375739937427726,1.8324260062572275
32809,2.375,7.5792067526885685,1.6170793247311432
10004,1.13,1.092291169972549,1.0207708830027449
20730,6.385,69.07421208381605,-0.5224212083816058
17510,1.13,0.7022107945624305,1.0597789205437569
21134,1.09,1.0009495491781795,0.9899050450821821
11585,1.545,1.2641103591063558,1.4185889640893643
32473,2.375,5.412427828618133,1.8337572171381866
30415,1.16,1.0219589032832972,1.0578041096716702
13166,1.0,0.0,1.0
5355,1.0,0.0,1.0
23784,1.785,1.2604661836003377,1.6589533816399662
22394,1.0,0.0,1.0
1372,3.43,17.841667522964325,1.6458332477035675
29880,1.73,5.954586467589501,1.1345413532410498
32380,2.11,10.490371776062085,1.0609628223937912
32687,1.93,5.956097715786737,1.3343902284213263
29457,1.02,0.1720465053408525,1.0027953494659148
32184,2.62,6.271012677391108,1.992898732260889
29869,1.115,0.686858791892482,1.0463141208107518
26124,1.03,0.4232020793899766,0.9876797920610023
7669,2.36,1.752255689104761,2.1847744310895236
13565,2.615,5.29119787949761,2.085880212050239
7711,2.24,2.549980392081477,1.9850019607918525
16030,2.605,7.702530428372224,1.8347469571627775
19568,4.05,3.7864891390310365,3.6713510860968963
2065,5.75,48.65745061139147,0.8842549388608525
22744,1.445,2.1253176233212767,1.2324682376678724
4258,1.105,1.2304369142706992,0.98195630857293
4330,3.925,16.793730228868153,2.2456269771131847
21123,3.79,8.745621761773144,2.9154378238226855
24778,1.01,0.09949874371066199,1.0000501256289338
5420,1.0,0.0,1.0
22280,1.0,0.0,1.0
30562,1.01,0.09949874371066199,1.0000501256289338
32328,2.025,8.432933949699832,1.1817066050300167
6891,1.605,5.22771221472644,1.082228778527356
12864,2.4,6.51536645170477,1.7484633548295228
10512,3.765,21.28379136808102,1.6366208631918981
32524,5.475,27.17828866945084,2.7571711330549156
16480,1.6,5.084289527554464,1.0915710472445537
21970,1.85,4.992744736114596,1.3507255263885405
17071,1.035,0.4286898645874427,0.9921310135412557
4181,9.455,23.770317099273203,7.077968290072679
7835,8.96,82.44512356713402,0.7154876432865986
24963,3.81,16.661149420133054,2.1438850579866946
1550,2.465,6.004063207528715,1.8645936792471285
11343,1.09,0.6339558344238185,1.0266044165576182
29526,1.95,8.916137055922817,1.0583862944077183
28511,1.22,0.6095900261651268,1.1590409973834872
25149,1.01,0.09949874371066199,1.0000501256289338
21385,23.805,47.58914765994449,19.046085234005552
28598,1.225,0.8569568250501303,1.139304317494987
23627,5.86,27.941553285384835,3.065844671461517
32350,10.58,53.46095397577562,5.233904602422438
1401,2.23,2.0042704408337713,2.0295729559166227
7210,7.86,38.3263669032169,4.02736330967831
1979,1.925,5.373022892190207,1.3876977107809794
840,1.01,0.09949874371066199,1.0000501256289338
23959,3.83,7.5611573188236205,3.073884268117638
21764,7.055,51.49739774978927,1.9052602250210722
27203,2.03,3.6686646071833824,1.6631335392816615
8666,3.405,20.869378883905487,1.3180621116094509
19548,1.05,0.3427827300200522,1.0157217269979948
26553,5.39,10.894397642825417,4.300560235717458
16838,3.42,12.590615552863172,2.1609384447136826
26424,1.935,5.439740343067855,1.3910259656932147
26882,1.315,2.096610359604283,1.1053389640395717
18354,1.205,0.4826748387890133,1.1567325161210988
15649,2.24,4.87877033687793,1.752122966312207
14847,2.185,5.070579355458309,1.677942064454169
6219,1.67,1.8711226576576958,1.4828877342342304
18133,4.295,30.05092303074899,1.2899076969251007
16033,1.455,1.3483230325111262,1.3201676967488876
15825,2.12,5.551180054727103,1.5648819945272896
15718,2.275,9.43235787064931,1.3317642129350689
15001,1.0,0.0,1.0
22818,6.285,20.8615381743533,4.198846182564671
16506,1.0,0.0,1.0
2821,1.01,0.09949874371066199,1.0000501256289338
13060,1.79,3.1552971333933035,1.4744702866606696
14567,2.7,4.845616575834287,2.2154383424165713
11453,1.25,2.2466641938660974,1.0253335806133903
3503,14.81,54.15619909114745,9.394380090885255
24350,2.59,7.035047974250069,1.8864952025749928
16946,1.675,2.109354166563785,1.4640645833436214
19383,8.76,51.30119296858505,3.6298807031414944
4702,1.735,8.160562174262262,0.9189437825737738
15619,2.39,4.274096395730916,1.9625903604269086
30613,16.615,42.59256713324521,12.355743286675477
7865,1.365,1.265612499938271,1.2384387500061729
30370,2.49,2.8670367978105893,2.203296320218941
19867,1.01,0.09949874371066199,1.0000501256289338
24852,1.015,0.21160103969498828,0.993839896030501
2862,3.93,5.405099444043559,3.389490055595644
27349,2.455,6.819675578794053,1.7730324421205947
23907,3.43,10.996140231917742,2.330385976808226
6717,1.625,2.7339303209847907,1.351606967901521
31004,1.0,0.0,1.0
10178,4.41,13.685463090447472,3.0414536909552528
14815,1.565,3.273495837785654,1.2376504162214346
18932,1.035,0.3062270399556512,1.0043772960044348
21120,4.755,41.78546368056719,0.5764536319432807
9523,1.17,0.8069076774947678,1.0893092322505231
23939,1.085,0.7264812454564812,1.012351875454352
32781,4.04,19.750655685318403,2.06493443146816
14017,4.455,17.832778106621525,2.6717221893378476
10117,1.615,3.819263672489764,1.2330736327510237
30393,2.755,3.640738249311532,2.390926175068847
19364,1.595,1.9418998429373229,1.4008100157062677
