node,degree,betweenness,closeness,eigenvector,pagerank,clustering
15362,0.004600000000000001,1.4833083966355108e-06,0.0023064569722013317,0.02209495924141457,0.00010132304101063516,0.5289855072463768
15365,0.005200000000000001,1.3321908213941007e-05,0.0021054733039971296,0.012252742681230059,0.0003565288128485224,0.22510822510822512
15376,0.0024000000000000002,0.0,0.0011017625556131172,0.013830422128228478,6.943426201115859e-05,0.48484848484848486
15389,0.0038,4.804899513777078e-06,0.0018041488566566954,0.014122094521716266,0.00010969653945343456,0.2982456140350877
15391,0.004000000000000001,2.2629387291831067e-06,0.0018041488566566954,0.01598656581892135,0.00017018908717741064,0.30994152046783624
15416,0.0018,0.0,0.0009012615859320672,0.015354838069074263,0.0,0.5777777777777777
15426,0.0116,4.922237250530382e-06,0.004118943680324838,0.03206890419189187,0.008310496808154771,0.389082462253194
15436,0.0068000000000000005,9.445338962062283e-06,0.0032118818425515006,0.028680449550644336,0.00038125645093020557,0.2821969696969697
15439,0.0098,1.1458296847739309e-05,0.0043207357284889,0.02076588716236562,0.0007917496597603244,0.2558139534883721
15451,0.0814,0.002147892181725194,0.04168803084430617,0.11485638725263028,0.05975831039468113,0.04669576059850374
15456,0.003,0.0,0.0013023438542085763,0.0053682582145121,0.0001326989606260132,0.32967032967032966
15471,0.004000000000000001,6.749540595227417e-07,0.0017037476313173094,0.012291071928720726,0.0002196479792835424,0.7712418300653595
15473,0.006600000000000001,1.0337886337065726e-06,0.0023064569722013317,0.009012123565530262,0.0005274485073913912,0.5869565217391305
15477,0.0088,1.0351210435842352e-05,0.004118943680324838,0.036877852737453864,0.00020294176167471158,0.3786295005807201
15480,0.006600000000000001,3.5773177907482007e-06,0.003312585572165627,0.007288609103869454,0.0021681746923685333,0.1532976827094474
15485,0.0032,1.0218236706452689e-06,0.001503005530002266,0.01311125241688843,9.450432967249452e-05,0.5416666666666666
15491,0.002,2.0002140191787795e-07,0.0008010412093559793,0.005347418949321749,0.00013218300454182548,0.8333333333333334
15497,0.004000000000000001,1.593082486158625e-06,0.0018041488566566954,0.010754397808744234,8.746497474171702e-05,0.5555555555555556
15499,0.009,1.1469129004515644e-05,0.003917232689420347,0.023138459510730854,0.0013887306581711624,0.391025641025641
15501,0.006000000000000001,3.099511138263933e-06,0.0024069790354728227,0.012527852474253524,0.001371631513936846,0.63
15502,0.003,4.4495053169768954e-07,0.0013023438542085763,0.009619223881584885,0.00011653508545422125,0.6153846153846154
15504,0.0014,7.155815111459828e-08,0.0006006606425976724,0.00126256153608345,9.936758889912266e-05,0.7142857142857143
15514,0.001,0.0,0.0004003602842119758,0.0025228917467987524,8.508634999855635e-05,0.9
15517,0.0146,1.5196681233201007e-05,0.0068499955123555445,0.052844612938706154,0.0013124979178445245,0.2672634271099744
