src,dst,probability
134,146,0.0051813471502590676
134,147,0.007692307692307693
134,148,0.017857142857142856
134,349,0.002403846153846154
134,1053,0.015384615384615385
134,1057,0.022727272727272728
134,1059,0.02857142857142857
134,44,0.003076923076923077
134,45,0.012658227848101266
134,1062,0.0009794319294809011
134,186,0.008
134,1069,0.043478260869565216
134,1076,0.09090909090909091
134,1084,0.029411764705882353
134,419,0.007462686567164179
134,750,0.002369668246445498
134,48,0.008695652173913044
134,1087,0.018867924528301886
134,756,0.009009009009009009
134,1091,0.25
134,1093,0.014492753623188406
134,253,0.004347826086956522
134,1104,0.010752688172043012
134,1120,0.07692307692307693
134,1122,0.05263157894736842
134,158,0.00819672131147541
134,86,0.007874015748031496
134,211,0.0024937655860349127
134,1131,0.08333333333333333
134,213,0.0017793594306049821
134,1135,0.25
134,670,0.017241379310344827
134,1142,0.037037037037037035
134,1146,0.1111111111111111
134,1154,0.025
134,306,0.006172839506172839
134,1161,0.2
134,1163,0.03333333333333333
134,1164,0.2
134,1168,0.02702702702702703
134,62,0.014285714285714285
134,1173,0.08333333333333333
134,805,0.0196078431372549
134,806,0.015625
134,15,0.002320185614849188
134,491,0.018867924528301886
134,322,0.002207505518763797
27,24,0.02040816326530612
27,2,0.0045871559633027525
27,26,0.0028011204481792717
27,134,0.005208333333333333
27,99,0.007874015748031496
27,985,0.0625
27,360,0.012658227848101266
27,290,0.005376344086021506
27,31,0.007352941176470588
27,602,0.014705882352941176
27,989,0.015873015873015872
27,333,0.00980392156862745
27,173,0.02564102564102564
27,1918,0.05263157894736842
27,863,0.045454545454545456
27,4,0.002145922746781116
27,77,0.0070921985815602835
27,1228,0.023809523809523808
27,994,0.00558659217877095
27,995,0.007042253521126761
27,334,0.018518518518518517
27,998,0.004
27,137,0.008403361344537815
27,33,0.021739130434782608
27,34,0.003952569169960474
27,291,0.0037735849056603774
27,721,0.005494505494505495
27,368,0.023255813953488372
27,1443,0.008403361344537815
27,369,0.002840909090909091
27,140,0.010869565217391304
27,1928,0.029411764705882353
27,1445,0.011904761904761904
27,639,0.034482758620689655
27,5,0.005405405405405406
27,141,0.008849557522123894
27,6,0.0015060240963855422
27,372,0.016129032258064516
27,373,0.004291845493562232
27,39,0.00392156862745098
27,1016,0.017543859649122806
27,7,0.012048192771084338
27,378,0.004608294930875576
27,379,0.02702702702702703
27,1759,0.00641025641025641
27,8,0.0012547051442910915
27,1026,0.02564102564102564
27,1335,0.041666666666666664
27,385,0.007462686567164179
27,1035,0.014925373134328358
27,386,0.02631578947368421
27,1040,0.021739130434782608
27,10,0.003067484662576687
27,1043,0.014925373134328358
27,146,0.0051813471502590676
27,393,0.007575757575757576
27,1343,0.01639344262295082
27,1941,0.0049504950495049506
27,44,0.003076923076923077
27,45,0.012658227848101266
27,402,0.005649717514124294
27,186,0.008
27,46,0.008403361344537815
27,409,0.010416666666666666
27,47,0.010638297872340425
27,750,0.002369668246445498
27,48,0.008695652173913044
