node,ic_mean,ic_std
18052,9.49,34.55256719840076
18065,13.715,29.741953113405316
18093,13.845,40.77009903103008
18099,24.15,56.334691798216134
18114,4.015,20.794825678519164
18126,16.475,51.01371751793825
18131,9.78,47.39168281460366
18132,6.34,26.81257913741235
18153,14.04,33.37661456768796
18166,5.815,23.474683703939444
18187,21.07,51.139956003109745
18199,1.01,0.09949874371066199
18284,2.565,6.6750112359455995
18289,4.885,21.054732840860268
18469,73.185,109.50507191450085
18585,12.725,34.96511654492231
18606,3.795,12.392859839439803
18648,1.725,2.73484460253229
18668,2.08,5.63059499520255
18702,2.465,7.125922747265788
18817,7.385,23.48652326335254
18826,16.975,33.43492747113413
19148,3.6,8.824397996464123
19174,1.98,12.425361161753006
19242,5.87,15.479118191938454
19245,18.67,41.3520386438202
19278,14.38,50.41354579872358
19367,4.375,27.777587638238135
19700,35.15,82.11910557233317
19778,5.98,18.500529722145796
19863,6.285,20.362312614239087
20080,32.03,62.08799481381244
20115,10.7,41.65441153107315
20139,1.18,2.4015828113975175
20199,8.355,27.58584736780801
20262,12.795,29.879641480446182
20367,30.595,66.11551236283357
20383,38.045,60.90790568555119
20458,4.29,23.43386225102469
20461,4.72,12.25649215722019
20522,4.02,6.868740787072985
20548,4.04,11.45898773888863
20554,20.19,44.04468072310208
20559,1.345,1.7849299706150938
20689,23.645,53.34340610609712
20703,15.035,41.213757108519
20880,10.665,29.518685184133794
21006,20.205,30.938212214024265
21123,1.305,1.2008226346967315
21386,114.735,119.4895592719297
21585,34.85,66.94107483451397
21586,25.54,62.93972036798384
21778,1.675,2.4878454533993866
21929,6.685,19.311545122024803
21949,3.3,25.263412279420997
21983,2.46,6.563413745909974
21985,6.535,32.79525537330057
22498,1.58,3.2208073522022396
22510,18.54,63.936753123692476
22518,12.895,35.90130882015306
22566,16.045,27.219532968072762
22593,3.805,15.597018144504423
22627,3.665,6.729247729129907
22678,5.315,19.532428804426754
22700,10.88,30.82637831468368
22713,2.44,8.038432683054577
22722,5.425,17.55033831582742
22781,3.69,16.609452128231084
22784,3.82,12.352635346354232
22804,14.035,63.13433119151577
23003,11.75,36.403399566524
23014,3.195,9.799335436650795
23371,1.485,1.8600470424158635
23417,12.565,34.02007899755672
23816,3.04,13.932279066972495
23854,7.765,22.686554938994153
23951,11.745,36.138344939966466
24079,3.235,6.140828527161461
24156,26.08,43.463934474458235
24703,1.92,1.3941305534274757
24792,1.505,1.4560133927955468
24857,18.285,34.07834759785163
24883,8.59,23.421611814732135
24927,2.735,3.8476973633590257
24954,14.49,41.501685507940515
25019,1.095,0.5440358444073331
25152,1.885,3.973886636531043
25522,7.615,22.284002670077026
25620,14.83,32.201569837509474
25623,4.66,19.124183642707475
25699,16.4,41.93661884320194
26135,9.77,39.294619224519785
26164,2.6,6.516133823057964
26173,12.22,33.73131482761975
26190,1.285,1.8010483058485691
26245,2.57,5.660839160407227
26339,10.94,39.959184175856244
26498,5.72,17.487469799830965
26530,6.915,17.88261096708196
26542,6.85,16.572793970842696
26630,5.72,23.076862871716337
26660,2.15,9.288568242737952
26720,20.805,53.464819975381936
26747,8.11,29.44431863704779
27025,1.22,2.8933717355362414
27050,9.03,21.93123571529885
27148,20.65,42.7082837398086
27314,10.915,36.05437248101816
27381,14.09,36.51221576404259
27420,4.06,14.487111513341778
27509,13.195,41.07160789401847
27519,15.59,52.36069040797686
27724,2.04,3.338921981718051
27738,7.175,9.528083490398267
27819,42.265,73.40371090755562
27853,18.495,51.23914494797898
27857,5.355,15.918510451672292
27877,5.61,15.675391542159323
28264,5.055,14.428859102507031
28383,17.425,48.53055094473996
28605,11.765,26.622166985427768
28639,23.02,37.27089481083061
28648,6.665,21.69845098157931
28668,19.59,44.05362527647413
28683,1.66,0.5953150426454886
28711,9.145,22.88807495181716
28867,35.35,57.76718359068581
28997,8.595,38.081504368919035
29233,11.315,26.04449605962842
29332,9.805,21.591131860094784
29384,11.025,24.554518423296354
30149,1.635,4.765687253691749
30269,30.125,74.73452599033462
30771,2.625,6.929962121108599
31382,9.34,22.127909978124908
31387,8.22,26.172917300140618
31634,5.265,5.472181923145465
31775,5.015,14.949072713717062
32101,20.7,53.74793019270603
32440,31.47,65.64075791762309
32469,9.0,17.049926686059386
32592,5.545,22.94401828363985
32611,11.3,45.59056920021947
32645,8.205,19.893541037231156
32692,5.24,16.069299922523072
33033,10.945,52.90824108775494
33228,10.1,42.89323956056479
33807,1.025,0.15612494995995993
34294,10.905,21.96692912083981
34394,12.045,22.373041255046218
34399,4.81,12.358555740862279
34677,2.475,9.124109545594024
35184,8.14,34.602895832574475
35280,8.875,29.571935597792717
35333,7.345,23.407177852103402
35344,28.765,55.675037269857306
35391,16.78,40.370677477595045
35640,1.915,3.1460729489317316
36124,3.605,12.249447946744375
36268,12.38,28.11735407181835
36294,1.505,1.8681474781183631
36303,7.245,26.060410108054707
36332,1.64,2.8671239945283147
36474,11.71,41.857089005328596
36567,11.385,31.855404172604686
36874,1.6,4.1388404173149755
37153,7.49,18.72538117102026
37219,10.1,25.084058682757064
37435,1.0,0.0
37582,4.22,18.9776605512903
37726,21.435,55.9060441723433
37728,10.905,27.76177182746087
37756,4.43,9.079377731981417
37766,3.485,9.217905130776733
37820,10.36,37.08935696395935
38236,5.39,24.05510133007134
39029,1.245,1.2348987812772347
39041,8.95,34.8536583445698
39103,1.005,0.07053367989832944
39356,2.08,4.829451314590511
39412,16.415,41.453018888857784
39420,9.54,30.17529453045984
39563,3.77,11.206565040189611
39657,1.395,1.5965509700601483
39688,22.15,50.130005984440096
39867,17.555,30.10078030550039
39919,2.745,3.5213598225685487
39992,12.425,39.431895402072676
40036,7.24,31.431869177635622
40049,4.9,8.928605714219886
40084,12.76,26.200236640152696
40240,13.225,31.8581916467335
40445,12.02,43.605270323666154
40478,1.055,0.4381495178589154
40550,16.245,35.062586541782686
40592,8.89,22.993214216372625
40649,4.29,5.180337826821722
40698,1.13,1.4223571984561405
40926,14.21,52.20149327366028
40971,6.325,13.355874175807438
41180,18.06,41.18551201575622
41777,9.235,19.537394273546308
41809,25.63,44.76542304055665
42051,2.56,7.15796060341212
42095,16.815,38.54193527834325
42302,11.54,32.363689530089125
42303,16.87,43.772743802507975
42326,9.985,22.77179779903203
42492,23.545,59.833836372072945
42578,10.395,26.954386934226495
42623,1.015,0.1215524578114322
42660,3.255,12.560651854103751
42710,12.76,30.01237078272891
42736,3.055,7.752546355875598
42890,6.855,25.7707969414995
43017,7.85,23.048156108461257
43130,5.325,21.462743883296937
43544,2.21,7.633210333797961
43735,6.33,19.627050211379192
43837,3.375,19.41660050060257
43845,13.925,38.3195690868256
